@RELATION encuesta

@ATTRIBUTE carrera numeric
@ATTRIBUTE sede numeric
@ATTRIBUTE grupo_familiar {'1-Mi grupo familiar','No contesta','1-Sola/o','1-Algún pariente','1-Otro','1-Compañeras/os o amigas/os','1-Familia amiga de mi familia' }
@ATTRIBUTE medio_transporte {'2-En colectivo de corta distancia', '2-En colectivo de media distancia', 'No contesta', '2-A pie', '2-En tren', '2-En bicicleta o moto', '2-En colectivo de larga distancia', '2-En colectivo o combi contratada'}
@ATTRIBUTE influencia_cercania {'4-Nada', '4-Mucho', 'No contesta', '4-Poco'}
@ATTRIBUTE cursando_actualemente {'6-No', '6-Si', 'No contesta'}
@ATTRIBUTE nivel_cursando {'No aplica', '7-Medio/Polimodal', '7-Universitario', '7-Terciario', 'No contesta'}
@ATTRIBUTE nivel_terminado {'8-Medio/Polimodal', '8-Primario', '8-Terciario', 'No contesta', '8-Universitario'}
@ATTRIBUTE tipo_colegio {'9-Público', 'No contesta', '9-Privado'}
@ATTRIBUTE tipo_titulo {'14-Otro (especificar)', '14-Bachiller', '14-Técnico', 'No contesta'}
@ATTRIBUTE pedira_beca {'16-Si', '16-No', 'No contesta'}
@ATTRIBUTE os_mutual { '17-Si', '17-No', 'No contesta'}
@ATTRIBUTE trabajo {'18-Si', 'No contesta', '18-No'}
@ATTRIBUTE relacion_trabajo_carrera {'19-Parcial', 'No aplica', '19-Total', 'No contesta'}
@ATTRIBUTE tipo_trabajo {'20-Obrero o Empleado', '20-Trabajador Familiar', 'No aplica', 'No contesta', '20-Cuenta Propista', '20-Patrón o Encargado'}
@ATTRIBUTE rama_trabajo {'21-Educación', '21-Otras (especificar)', '21-Comercio', '21-Servicios Públicos', 'No aplica', '21-Industrial', '21-Servicios Privados', 'No contesta', '21-Agropecuaria', '21-Turismo'}
@ATTRIBUTE formal_informal {'22-Formal', '22-Informal', 'No aplica', 'No contesta'}
@ATTRIBUTE permanente_temporario {'23-Permanente', '23-Temporario', 'No aplica', 'No contesta'}
@ATTRIBUTE cantidad_hs_trabajadas {'24-De 25 a 48 horas', '24-De 11 a 24 horas', '24-Más de 48 horas', 'No aplica', 'No contesta', '24-Menos de 10 horas'}
@ATTRIBUTE tipo_horarios {'No contesta', '25-Fijos', 'No aplica', '25-Rotativos'}
@ATTRIBUTE horario_trabajo {'26-Mañana', 'No aplica', '26-Tarde', '26-Noche', 'No contesta'}
@ATTRIBUTE posibilidad_cambiar_horario {'27-Sólo algunas veces', '27-Nunca', 'No aplica', '27-Siempre que sea necesario', 'No contesta'}
@ATTRIBUTE busca_trabajo {'No aplica', 'No contesta', '28-Si', '28-No'}
@ATTRIBUTE instruccion_madre {'Primario Completo', 'Medio o Polimodal Incompleto', 'Primario Incompleto', 'No contesta', 'Universitario Completo', 'Medio o Polimodal Completo', 'Terciario Completo', 'Universitario Incompleto', 'Terciario Incompleto'}
@ATTRIBUTE instruccion_padre {'Primario Completo', 'Medio o Polimodal Incompleto', 'Primario Incompleto', 'No contesta', 'Universitario Completo', 'Medio o Polimodal Completo', 'Terciario Completo', 'Universitario Incompleto', 'Terciario Incompleto'}
@ATTRIBUTE conocimiento_idioma {'34-Si', '34-No', 'No contesta'}
@ATTRIBUTE conocimiento_procesador_texto {'Bueno', 'Intermedio', 'Avanzado'}
@ATTRIBUTE conocimiento_planilla_calculo {'Bueno', 'Intermedio', 'Avanzado'}
@ATTRIBUTE conocimiento_internet {'Bueno', 'Intermedio', 'Avanzado'}
@ATTRIBUTE ingresante {'SI', 'NO'}
@ATTRIBUTE estado-1-2015  {'ABANDONO', 'ACTIVO'}
@ATTRIBUTE tiempo_traslado numeric
@ATTRIBUTE cantidad_grupo_familiar numeric

@data
8,1,'1-Mi grupo familiar','2-En tren','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Terciario Incompleto','Medio o Polimodal Incompleto','34-Si','Intermedio','Bueno','Avanzado','SI','ABANDONO',120,2
27,1,'1-Mi grupo familiar','2-En tren','4-Nada','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No','Terciario Completo','Universitario Completo','34-Si','Bueno','Bueno','Avanzado','NO','ABANDONO',60,4
43,6,'1-Mi grupo familiar','2-A pie','4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Informal','23-Temporario','24-Menos de 10 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica','Terciario Completo','Terciario Completo','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO',60,3
43,6,'1-Mi grupo familiar','2-En colectivo de larga distancia','4-Nada','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','Primario Completo','Primario Completo','No contesta','Bueno','Intermedio','Avanzado','NO','ABANDONO',60,8
27,3,'1-Compañeras/os o amigas/os','2-En colectivo de media distancia','4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Medio o Polimodal Incompleto','Primario Completo','34-Si','Bueno','Intermedio','Intermedio','NO','ABANDONO',45,4
25,1,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Universitario Incompleto','Universitario Completo','34-Si','Intermedio','Intermedio','Avanzado','SI','ABANDONO',45,5
3,1,'1-Mi grupo familiar','2-En tren','4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','No contesta','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No','Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Bueno','Bueno','Avanzado','SI','ACTIVO',30,4
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No','Medio o Polimodal Completo','Primario Incompleto','34-Si','Avanzado','Bueno','Intermedio','SI','ACTIVO',20,3
5,2,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Mucho','6-No','No aplica','No contesta','9-Privado','No contesta','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','No contesta','No contesta','No contesta',?,?,?,'NO','ABANDONO',60,6
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Otro (especificar)','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No','Primario Completo','Primario Completo','34-No','Intermedio','Intermedio','Avanzado','SI','ACTIVO',50,5
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-No','18-Si','19-Parcial','20-Trabajador Familiar','21-Comercio','22-Informal','23-Permanente','24-Menos de 10 horas','25-Fijos','26-Mañana','27-Nunca','No aplica','Primario Completo','Universitario Incompleto','34-No','Intermedio',?,'Intermedio','SI','ACTIVO',30,4
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Informal','23-Permanente','24-De 25 a 48 horas','25-Rotativos','26-Tarde','27-Siempre que sea necesario','No aplica','Terciario Incompleto','Medio o Polimodal Incompleto','34-No',?,?,'Bueno','SI','ABANDONO',45,4
43,6,'No contesta','No contesta','No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','No contesta','No contesta','No contesta',?,?,?,'SI','ACTIVO',40,4
2,1,'1-Mi grupo familiar','2-A pie','4-Nada','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Universitario Completo','Universitario Incompleto','34-Si','Bueno','Bueno','Intermedio','SI','ACTIVO',15,4
43,6,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Universitario Completo','Medio o Polimodal Incompleto','34-Si',?,?,'Intermedio','NO','ABANDONO',45,6
3,3,'1-Mi grupo familiar','2-En bicicleta o moto','4-Nada','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Terciario Completo','Medio o Polimodal Incompleto','34-Si','Bueno','Bueno','Avanzado','SI','ACTIVO',30,3
27,1,'1-Mi grupo familiar','2-A pie','4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','Medio o Polimodal Incompleto','Medio o Polimodal Completo','34-Si','Avanzado','Intermedio','Avanzado','SI','ABANDONO',75,5
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Primario Completo','Primario Incompleto','34-Si','Avanzado','Intermedio','Avanzado','SI','ACTIVO',45,4
43,6,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Medio o Polimodal Completo','Universitario Completo','34-No',?,?,'Bueno','NO','ABANDONO',50,4
5,2,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Nada','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Medio o Polimodal Incompleto','Primario Incompleto','34-Si','Bueno','Bueno','Intermedio','SI','ACTIVO',50,5
3,1,'1-Sola/o','2-En tren','4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Educación','22-Informal','23-Temporario','24-De 11 a 24 horas','25-Fijos','26-Tarde','27-Nunca','No aplica','Primario Completo','Primario Completo','34-Si',?,'Bueno','Intermedio','SI','ACTIVO',60,5
3,2,'1-Mi grupo familiar','2-En tren','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Primario Completo','Medio o Polimodal Incompleto','34-Si','Bueno','Bueno','Bueno','SI','ABANDONO',60,7
1,1,'1-Mi grupo familiar','2-En tren','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Técnico','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-Si','Intermedio','Intermedio','Avanzado','SI','ACTIVO',30,2
41,1,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Primario Completo','Primario Completo','34-No',?,?,?,'NO','ABANDONO',60,4
3,1,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Primario Completo','No contesta','34-Si','Avanzado','Intermedio','Avanzado','SI','ABANDONO',60,4
43,6,'1-Mi grupo familiar','2-A pie','4-Poco','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No','Primario Incompleto','No contesta','34-No',?,?,?,'SI','ACTIVO',20,4
43,6,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Poco','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Primario Completo','Primario Incompleto','34-No','Avanzado','Avanzado','Avanzado','SI','ABANDONO',120,5
3,13,'1-Mi grupo familiar','2-A pie','4-Nada','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No','Primario Completo','Medio o Polimodal Completo','34-No','Avanzado','Avanzado','Avanzado','SI','ACTIVO',30,5
3,1,'1-Algún pariente','2-En colectivo de corta distancia','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Otro (especificar)','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO',40,1
3,2,'1-Sola/o','2-En colectivo de media distancia','4-Mucho','6-Si','No contesta','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Trabajador Familiar','21-Servicios Privados','22-Informal','23-Temporario','24-De 25 a 48 horas','25-Rotativos','26-Tarde','27-Nunca','No aplica','Primario Incompleto','Primario Incompleto','34-No',?,'Bueno','Bueno','SI','ACTIVO',45,4
5,1,'1-Mi grupo familiar','2-En tren','4-Poco','6-No','No aplica','8-Terciario','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Públicos','22-Informal','23-Temporario','24-De 11 a 24 horas','25-Rotativos','26-Mañana','27-Siempre que sea necesario','No aplica','Primario Incompleto','Primario Incompleto','34-Si','Intermedio',?,'Intermedio','SI','ABANDONO',120,3
43,6,'1-Mi grupo familiar','2-A pie','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Otro (especificar)','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Otras (especificar)','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Nunca','No aplica','Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-No','Bueno',?,?,'SI','ABANDONO',50,4
5,3,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Nada','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','No contesta','No contesta','No contesta',?,?,?,'SI','ABANDONO',40,4
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si','Primario Incompleto','Primario Completo','34-Si','Avanzado','Avanzado','Avanzado','NO','ABANDONO',30,3
3,2,'1-Algún pariente','2-A pie','4-Poco','6-Si','7-Universitario','8-Universitario','9-Público','14-Bachiller','16-Si','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Nunca','No aplica','Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Bueno',?,'Avanzado','SI','ACTIVO',100,1
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-No','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Privados','22-Formal','23-Temporario','24-De 25 a 48 horas','25-Rotativos','26-Noche','27-Sólo algunas veces','No aplica','Primario Incompleto','Primario Completo','34-No','Bueno','Bueno','Intermedio','SI','ACTIVO',30,4
43,6,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-No','No aplica','8-Terciario','9-Público','14-Otro (especificar)','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Industrial','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Noche','27-Nunca','No aplica','Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-Si','Avanzado','Avanzado','Avanzado','NO','ABANDONO',40,2
25,1,'1-Mi grupo familiar','2-En colectivo de larga distancia','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Técnico','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No','Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-Si','Intermedio','Intermedio','Bueno','SI','ABANDONO',140,8
3,2,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Mucho','No contesta','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Educación','22-Formal','23-Temporario','24-Menos de 10 horas','25-Rotativos','26-Tarde','27-Sólo algunas veces','No aplica','Primario Incompleto','Primario Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ABANDONO',40,4
3,1,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Públicos','22-Informal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica','Primario Completo','Medio o Polimodal Completo','34-Si','Avanzado','Intermedio','Avanzado','SI','ABANDONO',50,5
25,1,'1-Mi grupo familiar','2-En tren','4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No','Medio o Polimodal Completo','Medio o Polimodal Completo','34-No',?,?,?,'NO','ABANDONO',60,6
5,1,'1-Sola/o','2-En tren','4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-Si','17-Si','18-Si','19-Parcial','20-Trabajador Familiar','21-Comercio','22-Informal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica','Primario Incompleto','Primario Incompleto','34-No','Bueno','Bueno','Intermedio','SI','ABANDONO',15,4
51,11,'1-Sola/o','2-En colectivo de corta distancia','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Otro (especificar)','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica','Medio o Polimodal Incompleto','Medio o Polimodal Completo','34-No','Intermedio','Intermedio','Intermedio','SI','ABANDONO',60,1
27,3,'1-Mi grupo familiar','No contesta','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Patrón o Encargado','21-Industrial','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Mañana','27-Siempre que sea necesario','No aplica','Primario Incompleto','Primario Completo','34-Si',?,'Bueno',?,'SI','ABANDONO',30,3
5,2,'No contesta','No contesta','No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','No contesta','No contesta','No contesta',?,?,?,'SI','ABANDONO',40,4
3,1,'No contesta','No contesta','No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','No contesta','No contesta','No contesta',?,?,?,'SI','ABANDONO',40,4
8,1,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Informal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica','Primario Completo','Primario Completo','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO',60,3
3,2,'1-Mi grupo familiar','No contesta','4-Mucho','6-No','No aplica','8-Universitario','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Servicios Públicos','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica','Primario Incompleto','Medio o Polimodal Completo','34-No','Avanzado','Avanzado','Avanzado','SI','ABANDONO',15,3
5,3,'No contesta','No contesta','No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','No contesta','No contesta','No contesta',?,?,?,'SI','ACTIVO',40,4
26,2,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Poco','6-No','No aplica','8-Terciario','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Nunca','No aplica','Primario Completo','Medio o Polimodal Completo','34-No','Bueno',?,'Intermedio','SI','ACTIVO',90,3
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Cuenta Propista','21-Comercio','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica','Medio o Polimodal Completo','Terciario Completo','34-No',?,?,?,'SI','ABANDONO',30,6
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-No','No aplica','No contesta','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Otras (especificar)','22-Informal','23-Temporario','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Nunca','No aplica','Primario Incompleto','Primario Incompleto','34-No','Intermedio','Intermedio','Intermedio','SI','ABANDONO',40,4
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','6-No','No aplica','8-Universitario','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Total','20-Obrero o Empleado','21-Otras (especificar)','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Noche','27-Sólo algunas veces','No aplica','Primario Incompleto','Primario Completo','34-Si','Avanzado','Bueno','Avanzado','SI','ABANDONO',30,3
4,1,'1-Mi grupo familiar','No contesta','4-Nada','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Cuenta Propista','21-Comercio','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica','Primario Completo','Primario Completo','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO',50,5
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Mucho','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','No contesta','No contesta','No contesta',?,?,?,'NO','ABANDONO',40,4
4,2,'1-Mi grupo familiar','2-En colectivo de corta distancia','4-Poco','No contesta','No aplica','8-Terciario','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 11 a 24 horas','25-Fijos','26-Mañana','27-Nunca','No aplica','Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-Si','Bueno','Bueno','Bueno','SI','ABANDONO',40,2
2,1,'No contesta','No contesta','No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta','No contesta','No contesta','No contesta',?,?,?,'NO','ABANDONO',40,4
3,2,'1-Mi grupo familiar','2-En bicicleta o moto','4-Mucho','No contesta','No aplica','No contesta','9-Público','14-Otro (especificar)','16-No','17-Si','18-Si','19-Parcial','20-Patrón o Encargado','21-Comercio','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica','Medio o Polimodal Completo','Primario Completo','34-No','Bueno','Bueno','Bueno','NO','ABANDONO',15,4
3,2,'1-Mi grupo familiar','No contesta','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Otro (especificar)','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Formal','23-Permanente','24-Más de 48 horas','25-Fijos','26-Mañana','27-Sólo algunas veces','No aplica','Primario Completo','Primario Completo','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO',20,4
51,11,'1-Mi grupo familiar','2-En tren','4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica','Medio o Polimodal Incompleto','Universitario Completo','34-No','Bueno','Bueno','Intermedio','SI','ABANDONO',60,3
26,2,'1-Mi grupo familiar','2-En colectivo de media distancia','4-Mucho','6-No','No aplica','8-Terciario','No contesta','No contesta','No contesta','17-Si','18-Si','19-Total','20-Obrero o Empleado','21-Educación','22-Formal','23-Permanente','24-De 11 a 24 horas','25-Fijos','26-Tarde','27-Nunca','No aplica','Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-No','Intermedio',?,?,'SI','ACTIVO',60,4
